site,link,title
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffpostarabi.com/?country=AR,عربي (Arabi)
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com.au/?country=AU,Australia
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffpostbrasil.com/?country=BR,Brasil
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.ca/?country=CA,Canada
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.de/?country=DE,Deutschland
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.es/?country=ES,España
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.fr/?country=FR,France
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.gr/?country=GR,Ελλάδα (Greece)
"CNN - Breaking News, Latest News and Videos",/,
"The New York Times - Breaking News, World News & Multimedia",http://www.nytimes.com/content/help/site/ie9-support.html,LEARN MORE »
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.in/?country=IN,India
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.it/?country=IT,Italia
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.jp/?country=JP,日本 (Japan)
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.kr/?country=KR,한국 (Korea)
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffpostmaghreb.com/?country=MG,Maghreb
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com.mx/?country=MX,México
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://quebec.huffingtonpost.ca/?country=QC,Québec (En Francais)
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.co.za/?country=ZA,South Africa
"CNN - Breaking News, Latest News and Videos",/,Home
"CNN - Breaking News, Latest News and Videos",/us,U.S.
"CNN - Breaking News, Latest News and Videos",/world,World
"CNN - Breaking News, Latest News and Videos",/politics,Politics
"CNN - Breaking News, Latest News and Videos",//money.cnn.com,Money
"CNN - Breaking News, Latest News and Videos",/opinions,Opinion
"CNN - Breaking News, Latest News and Videos",/health,Health
"CNN - Breaking News, Latest News and Videos",/entertainment,Entertainment
"CNN - Breaking News, Latest News and Videos",//money.cnn.com/technology,Tech
"CNN - Breaking News, Latest News and Videos",/style,Style
"CNN - Breaking News, Latest News and Videos",/travel,Travel
"CNN - Breaking News, Latest News and Videos",//bleacherreport.com,Sports
"The New York Times - Breaking News, World News & Multimedia",#top-news,Skip to content
"The New York Times - Breaking News, World News & Multimedia",#site-index-navigation,Skip to navigation
"The New York Times - Breaking News, World News & Multimedia",http://cn.nytimes.com,中文 (Chinese)
"The New York Times - Breaking News, World News & Multimedia",http://www.nytimes.com/es/,Español
"The New York Times - Breaking News, World News & Multimedia",http://www.nytimes.com/,"
    ,

"
"The New York Times - Breaking News, World News & Multimedia",http://www.nytimes.com/pages/todayspaper/index.html,Today’s Paper
"The New York Times - Breaking News, World News & Multimedia",http://www.nytimes.com/video,Video
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/world/index.html,World
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/national/index.html,U.S.
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.co.uk/?country=UK,United Kingdom
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/?country=US,United States
Breaking News and Opinion on The Huffington Post | The Huffington Post,/,"
,
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,https://twitter.com/HuffingtonPost,
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://facebook.com/HuffingtonPost,
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://pinterest.com/huffingtonpost,
Breaking News and Opinion on The Huffington Post | The Huffington Post,/newsletters,
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/,"NEWS
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://highline.huffingtonpost.com/,"
"
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//foxnews.com,
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//foxbusiness.com,
"CNN - Breaking News, Latest News and Videos",/videos,Video
"CNN - Breaking News, Latest News and Videos",/vr,VR
"CNN - Breaking News, Latest News and Videos",http://cnn.it/go2,Live TV 
"CNN - Breaking News, Latest News and Videos",/,Home
"CNN - Breaking News, Latest News and Videos",/us,U.S.
"CNN - Breaking News, Latest News and Videos",/specials/us/crime-and-justice,Crime + Justice
"CNN - Breaking News, Latest News and Videos",/specials/us/energy-and-environment,Energy + Environment
"CNN - Breaking News, Latest News and Videos",/specials/us/extreme-weather,Extreme Weather
"CNN - Breaking News, Latest News and Videos",/specials/space-science,Space + Science
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",/,"
      "
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/politics/index.html,Politics
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/nyregion/index.html,N.Y.
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/business/index.html,Business
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/business/international/index.html,Business
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/opinion/index.html,Opinion
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/opinion/international/index.html,Opinion
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/technology/index.html,Tech
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/section/science,Science
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/health/index.html,Health
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/science,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/education,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/weird-news,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/business,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://testkitchen.huffingtonpost.com/,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/technology,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/college,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/media,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/politics,"POLITICS
"
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//www.foxnewsgo.com,
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//radio.foxnews.com,
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//nation.foxnews.com,
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//foxnewsinsider.com/,
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//www.foxnews.com?intcmp=logo,FoxNews.com
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,#,Search
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//www.facebook.com/FoxNews,Fox News Facebook
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//twitter.com/FoxNews,Fox News Twitter
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//plus.google.com/+FoxNews,Fox News Google+
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//www.foxnews.com,Home
"CNN - Breaking News, Latest News and Videos",/world,World
"CNN - Breaking News, Latest News and Videos",/africa,Africa
"CNN - Breaking News, Latest News and Videos",/americas,Americas
"CNN - Breaking News, Latest News and Videos",/asia,Asia
"CNN - Breaking News, Latest News and Videos",/europe,Europe
"CNN - Breaking News, Latest News and Videos",/middle-east,Middle East
"CNN - Breaking News, Latest News and Videos",/politics,
"CNN - Breaking News, Latest News and Videos",/specials/politics/president-donald-trump-45,45
"CNN - Breaking News, Latest News and Videos",/specials/politics/congress-capitol-hill,Congress
"CNN - Breaking News, Latest News and Videos",/specials/politics/us-security,Security
"CNN - Breaking News, Latest News and Videos",/specials/politics/supreme-court-nine,The Nine
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",/nightly-news, Nightly News
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",http://www.msnbc.com,MSNBC
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",/meet-the-press, Meet the Press
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",/dateline, Dateline
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",http://www.today.com,Today
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",http://www.nbcnews.com/pages/search,
" Washington Post: National, World & D.C. Area News and Headlines - The Washington Post",,Turn off
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/sports/index.html,Sports
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/sports/international/index.html,Sports
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/arts/index.html,Arts
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/arts/international/index.html,Arts
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/fashion/index.html,Style
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/style/international/index.html,Style
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/dining/index.html,Food
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/dining/international/index.html,Food
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/section/travel,Travel
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/magazine/index.html,Magazine
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://elections.huffingtonpost.com/pollster,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/heroin-epidemic,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/donald-trump,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/racial-inequality,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/us-senate,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://elections.huffingtonpost.com/2016/results/president,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/huffpost-hill,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/police-brutality,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/hate-crimes,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/supreme-court,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/congress,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/so-that-happened,"
"
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//video.foxnews.com,Video
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/politics.html,Politics
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/us.html,U.S.
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/opinion.html,Opinion
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//foxbusiness.com,Business
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/entertainment.html,Entertainment
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/tech.html,Tech
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/science.html,Science
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/health.html,Health
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/travel.html,Travel
"CNN - Breaking News, Latest News and Videos",/specials/politics/trumpmerica,Trumpmerica
"CNN - Breaking News, Latest News and Videos",//money.cnn.com,
"CNN - Breaking News, Latest News and Videos",//money.cnn.com/data/markets/,Markets
"CNN - Breaking News, Latest News and Videos",//money.cnn.com/technology/,Tech
"CNN - Breaking News, Latest News and Videos",//money.cnn.com/media/,Media
"CNN - Breaking News, Latest News and Videos",//money.cnn.com/pf/,Personal Finance
"CNN - Breaking News, Latest News and Videos",//money.cnn.com/luxury/,Luxury
"CNN - Breaking News, Latest News and Videos",/opinions,Opinion
"CNN - Breaking News, Latest News and Videos",/specials/opinion/opinion-politics,Political Op-Eds
"CNN - Breaking News, Latest News and Videos",/specials/opinion/opinion-social-issues,Social Commentary
"CNN - Breaking News, Latest News and Videos",/health,Health
"CNN - Breaking News, Latest News and Videos",/specials/health/diet-fitness,Diet + Fitness
"CNN - Breaking News, Latest News and Videos",/specials/health/living-well,Living Well
"CNN - Breaking News, Latest News and Videos",/specials/living/cnn-parents,Parenting + Family
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",https://www.facebook.com/sharer/sharer.php?u=http://www.nbcnews.com%2F,"
                                      ,
                                  "
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",https://twitter.com/intent/tweet?text=NBC%20News%20-%20Breaking%20News%20%26%20Top%20Stories%20-%20Latest%20World%2C%20US%20%26%20Local%20News&url=http://www.nbcnews.com%2F&via=nbcnews,"
                                      ,
                                  "
"NBC News - Breaking News & Top Stories - Latest World, US & Local News","mailto:?subject=Check%20this%20out%20on%20NBCNews.com&body=Hi%20–%0A%0AWhen%20I%20saw%20this%20on%20NBCNews.com,%20I%20thought%20you'd%20find%20it%20interesting:%0ANBC%20News%20-%20Breaking%20News%20%26%20Top%20Stories%20-%20Latest%20World%2C%20US%20%26%20Local%20News%0Ahttp%3A%2F%2Fwww.nbcnews.com/%3Fcid%3Deml_onsite%0AIf%20you%20get%20a%20chance,%20let%20me%20know%20what%20you%20think%20of%20it.%20Thanks!","
                                      ,
                                  "
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",/news/us-news,U.S.
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",/news/world,World
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",http://www.nbcnews.com/news/us-news/nbc-affiliates-n19981,Local
" Washington Post: National, World & D.C. Area News and Headlines - The Washington Post",https://www.washingtonpost.com," , , "
" Washington Post: National, World & D.C. Area News and Headlines - The Washington Post",#," Sections , "
