link,title,site
https://www.nytimes.com/pages/world/index.html,World,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/national/index.html,U.S.,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/politics/index.html,Politics,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/nyregion/index.html,N.Y.,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/business/index.html,Business,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/business/international/index.html,Business,"The New York Times - Breaking News, World News & Multimedia"
//twitter.com/FoxNews,Fox News Twitter,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//plus.google.com/+FoxNews,Fox News Google+,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//www.foxnews.com,Home,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//video.foxnews.com,Video,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/politics.html,Politics,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/us.html,U.S.,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/opinion.html,Opinion,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//foxbusiness.com,Business,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/entertainment.html,Entertainment,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/specials/politics/us-security,Security,"CNN - Breaking News, Latest News and Videos"
/specials/politics/supreme-court-nine,The Nine,"CNN - Breaking News, Latest News and Videos"
/specials/politics/trumpmerica,Trumpmerica,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com,,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/data/markets/,Markets,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/technology/,Tech,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/media/,Media,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/pf/,Personal Finance,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/luxury/,Luxury,"CNN - Breaking News, Latest News and Videos"
/opinions,Opinion,"CNN - Breaking News, Latest News and Videos"
/nightly-news, Nightly News,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.msnbc.com,MSNBC,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/meet-the-press, Meet the Press,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/dateline, Dateline,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.today.com,Today,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.nbcnews.com/pages/search,,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
https://twitter.com/HuffingtonPost,,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://facebook.com/HuffingtonPost,,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://pinterest.com/huffingtonpost,,Breaking News and Opinion on The Huffington Post | The Huffington Post
/newsletters,,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/,"NEWS
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://highline.huffingtonpost.com/,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/science,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/education,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/weird-news,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
,Turn off," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.nytimes.com/pages/opinion/index.html,Opinion,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/opinion/international/index.html,Opinion,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/technology/index.html,Tech,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/section/science,Science,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/health/index.html,Health,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/sports/index.html,Sports,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/sports/international/index.html,Sports,"The New York Times - Breaking News, World News & Multimedia"
/tech.html,Tech,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/science.html,Science,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/health.html,Health,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/travel.html,Travel,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/lifestyle.html,Lifestyle,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/world.html,World,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/shows.html,On Air,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/world/2017/04/06/us-launches-missiles-into-syria-in-response-to-chemical-weapons-attack.html," ,
	",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/world/2017/04/06/us-launches-missiles-into-syria-in-response-to-chemical-weapons-attack.html,Dozens of cruise missiles launched in response to chemical weapons attack,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/specials/opinion/opinion-politics,Political Op-Eds,"CNN - Breaking News, Latest News and Videos"
/specials/opinion/opinion-social-issues,Social Commentary,"CNN - Breaking News, Latest News and Videos"
/health,Health,"CNN - Breaking News, Latest News and Videos"
/specials/health/diet-fitness,Diet + Fitness,"CNN - Breaking News, Latest News and Videos"
/specials/health/living-well,Living Well,"CNN - Breaking News, Latest News and Videos"
/specials/living/cnn-parents,Parenting + Family,"CNN - Breaking News, Latest News and Videos"
/entertainment,,"CNN - Breaking News, Latest News and Videos"
/entertainment/celebrities,Stars,"CNN - Breaking News, Latest News and Videos"
/entertainment/movies,Screen,"CNN - Breaking News, Latest News and Videos"
/entertainment/tv-shows,Binge,"CNN - Breaking News, Latest News and Videos"
/entertainment/culture,Culture,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/media,Media,"CNN - Breaking News, Latest News and Videos"
https://www.facebook.com/sharer/sharer.php?u=http://www.nbcnews.com%2F,"
                                      ,
                                  ","NBC News - Breaking News & Top Stories - Latest World, US & Local News"
https://twitter.com/intent/tweet?text=NBC%20News%20-%20Breaking%20News%20%26%20Top%20Stories%20-%20Latest%20World%2C%20US%20%26%20Local%20News&url=http://www.nbcnews.com%2F&via=nbcnews,"
                                      ,
                                  ","NBC News - Breaking News & Top Stories - Latest World, US & Local News"
"mailto:?subject=Check%20this%20out%20on%20NBCNews.com&body=Hi%20–%0A%0AWhen%20I%20saw%20this%20on%20NBCNews.com,%20I%20thought%20you'd%20find%20it%20interesting:%0ANBC%20News%20-%20Breaking%20News%20%26%20Top%20Stories%20-%20Latest%20World%2C%20US%20%26%20Local%20News%0Ahttp%3A%2F%2Fwww.nbcnews.com/%3Fcid%3Deml_onsite%0AIf%20you%20get%20a%20chance,%20let%20me%20know%20what%20you%20think%20of%20it.%20Thanks!","
                                      ,
                                  ","NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/news/us-news,U.S.,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/news/world,World,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.nbcnews.com/news/us-news/nbc-affiliates-n19981,Local,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.huffingtonpost.com/section/business,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://testkitchen.huffingtonpost.com/,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/technology,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/college,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/media,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/politics,"POLITICS
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://elections.huffingtonpost.com/pollster,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
https://www.washingtonpost.com," , , "," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
#," Sections , "," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
#," , "," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/politics/,Politics," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.washingtonpost.com/opinions/,Opinions," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/sports/,Sports," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.nytimes.com/pages/arts/index.html,Arts,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/arts/international/index.html,Arts,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/fashion/index.html,Style,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/style/international/index.html,Style,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/dining/index.html,Food,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/dining/international/index.html,Food,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/section/travel,Travel,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/magazine/index.html,Magazine,"The New York Times - Breaking News, World News & Multimedia"
http://www.foxnews.com/politics/2017/04/06/syria-missile-strikes-trump-says-action-in-vital-national-security-interest.html, Trump says military action in 'vital national security interest',Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://video.foxnews.com/v/5388808319001/," As long as US stands for justice, peace will prevail",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://video.foxnews.com/v/5388705607001/,Real concern of a war with Russia with Syrian action ,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://video.foxnews.com/v/5388733332001/,  Trump did not call Putin before ordering strikes,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/politics/2017/04/06/tillerson-says-coalition-forming-to-target-assad-trump-hearing-military-options.html,"Tillerson says coalition forming to target Assad, Trump hearing military options",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/world/2017/02/25/syria-opposition-on-same-tack-as-us-on-terrorism-iran.html,"Syria opposition on same tack as US on terrorism, Iran",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/world/2017/04/06/syria-s-secret-caves-serve-as-hospitals-in-final-lifeline-to-save-victims.html,Syria’s secret caves serve as hospitals to save victims,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/politics/2017/04/06/sen-risch-military-action-against-assad-probably-will-take-place.html, Sen. Risch — Military action against Assad 'probably will take place',Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//money.cnn.com/technology,,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/technology/business,Business,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/technology/culture,Culture,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/technology/gadgets,Gadgets,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/technology/future,Future,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/technology/startups,Startups,"CNN - Breaking News, Latest News and Videos"
/style,,"CNN - Breaking News, Latest News and Videos"
#maincontent,Skip to main content,"News, sport and opinion from the Guardian's US edition | The Guardian"
/," , ","Home - BBC News,BBC News"
/politics,Politics,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/investigations,Investigations,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/health,Health,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/mach,MACH,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/tech,Tech,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/science,Science,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.huffingtonpost.com/topic/heroin-epidemic,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/donald-trump,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/racial-inequality,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/us-senate,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://elections.huffingtonpost.com/2016/results/president,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/huffpost-hill,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/police-brutality,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/hate-crimes,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.washingtonpost.com/local/,Local," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/national/,National," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/world/,World," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/business/,Business," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/business/technology/,Tech," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/lifestyle/,Lifestyle," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.nytimes.com/section/t-magazine,T Magazine,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/section/realestate,Real Estate,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/world/middleeast/us-said-to-weigh-military-responses-to-syrian-chemical-attack.html,U.S. Strikes Syria Over Chemical Attack,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/world/middleeast/us-said-to-weigh-military-responses-to-syrian-chemical-attack.html,More Than 50 Missiles Launched,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/world/middleeast/us-said-to-weigh-military-responses-to-syrian-chemical-attack.html?hp&target=comments#commentsContainer,,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/world/middleeast/chemical-attack-syria.html,"Sarin Used in Syria Chemical Attack, Turkey Says","The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/world/middleeast/sarin-nerve-agent.html,What Is Sarin? An Explainer,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/world/middleeast/us-said-to-weigh-military-responses-to-syrian-chemical-attack.html,,"The New York Times - Breaking News, World News & Multimedia"
http://www.foxnews.com/politics/2017/04/06/politifact-retracts-mostly-true-ruling-that-us-removed-100-percent-syrias-chemical-weapons.html,PolitiFact retracts 'mostly true' ruling that US removed '100 percent' of Syria's chemical weapons,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://insider.foxnews.com/2017/04/06/krauthammer-trump-syria-assad-regime-and-foreign-policy-middle-east,Krauthammer questions 'stability' of Trump's foreign policy,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/politics/2017/04/06/republicans-go-nuclear-bust-through-democratic-filibuster-on-gorsuch.html#&_intcmp=hpbt3,"
		,
		, ,
		",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/politics/2017/04/06/gorsuch-vote-tracker.html, See how your senators voted,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/opinion/2017/04/06/gregg-jarrett-time-to-say-goodbye-to-senate-filibuster-forever-and-for-everything.html, Time to say goodbye to the Senate filibuster forever and for everything,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxbusiness.com/politics/2017/04/05/gorsuch-supreme-court-nuclear-showdown-financial-cases-hang-in-balance.html,Gorsuch nuclear showdown: Financial cases hang in balance,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/politics/2017/04/06/senators-agree-damage-over-gorsuch-fight-could-be-irreparable.html,Senators agree damage over Gorsuch fight could be 'irreparable',Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/opinion/2017/04/06/gorsuch-hysteria-on-left-heres-real-reason-why-democrats-have-been-so-partisan-about-trumps-pick.html,OPINION: Real reason Dems have been partisan about Gorsuch,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/style/fashion,Fashion,"CNN - Breaking News, Latest News and Videos"
/style/design,Design,"CNN - Breaking News, Latest News and Videos"
/style/architecture,Architecture,"CNN - Breaking News, Latest News and Videos"
/style/arts,Arts,"CNN - Breaking News, Latest News and Videos"
/style/autos,Autos,"CNN - Breaking News, Latest News and Videos"
/style/luxury,Luxury,"CNN - Breaking News, Latest News and Videos"
/travel,Travel,"CNN - Breaking News, Latest News and Videos"
/specials/travel/best-of-travel,Best of Travel,"CNN - Breaking News, Latest News and Videos"
/specials/travel/sleep-eats,Sleeps + Eats,"CNN - Breaking News, Latest News and Videos"
https://www.theguardian.com/us,"
,
,
","News, sport and opinion from the Guardian's US edition | The Guardian"
https://membership.theguardian.com/us/supporter?INTCMP=mem_us_web_newheader_trapezoid,"
Become a ,
","News, sport and opinion from the Guardian's US edition | The Guardian"
https://www.theguardian.com/us,"
news
","News, sport and opinion from the Guardian's US edition | The Guardian"
https://www.theguardian.com/us/commentisfree,"
opinion
","News, sport and opinion from the Guardian's US edition | The Guardian"
https://www.theguardian.com/us/sport,"
sport
","News, sport and opinion from the Guardian's US edition | The Guardian"
https://www.theguardian.com/us/culture,"
arts
","News, sport and opinion from the Guardian's US edition | The Guardian"
https://www.theguardian.com/us/lifeandstyle,"
life
","News, sport and opinion from the Guardian's US edition | The Guardian"
https://www.theguardian.com/us,"
,
headlines
","News, sport and opinion from the Guardian's US edition | The Guardian"
#page,Skip to content,"Home - BBC News,BBC News"
/accessibility/,Accessibility Help,"Home - BBC News,BBC News"
https://www.bbc.com/account?ptrt=http%3A%2F%2Fwww.bbc.com%2Fnews," , ","Home - BBC News,BBC News"
#,"
        ,
        ,
        ,
        ,
    ","Home - BBC News,BBC News"
http://www.bbc.co.uk/news/,News,"Home - BBC News,BBC News"
http://www.bbc.com/news/,News,"Home - BBC News,BBC News"
/sport/,Sport,"Home - BBC News,BBC News"
/weather/,Weather,"Home - BBC News,BBC News"
http://shop.bbc.com/,Shop,"Home - BBC News,BBC News"
http://www.bbc.com/earth/,Earth,"Home - BBC News,BBC News"
http://www.bbc.com/travel/,Travel,"Home - BBC News,BBC News"
/better,BETTER,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/pop-culture,Pop Culture,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/pop-culture/lifestyle,Lifestyle,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/business,Business,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/news/weather,Weather,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.nbcsports.com,Sports,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.huffingtonpost.com/topic/supreme-court,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/congress,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/so-that-happened,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/dept/entertainment,"ENTERTAINMENT
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/entertainment,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/comedy,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/celebrity,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/tv,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/arts,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.washingtonpost.com/entertainment/,Entertainment," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/posttv/,Video," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://jobs.washingtonpost.com/,Jobs," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/classifieds/,Classifieds," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/sf/brand-connect/brand-studio/,WP BrandStudio," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
#,," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.nytimes.com/2017/04/06/world/middleeast/syria-bashar-al-assad-russia-sarin-attack.html,The Grim Logic Behind the Chemical Weapons Attack,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/world/middleeast/syrian-father-buries-children.html,‘I Buried My Own Children’: A Father’s Grief,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/us/politics/neil-gorsuch-supreme-court-senate.html,G.O.P. Deploys ‘Nuclear Option’ to Clear Gorsuch’s Path,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/us/politics/neil-gorsuch-supreme-court-senate.html?hp&target=comments#commentsContainer,,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/interactive/2017/04/06/us/politics/gorsuch-supreme-court-vote.html,How the Senators Voted,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/us/politics/filibuster-senate-republicans.html,Fallout: The Senate Will Survive,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/us/trump-russia-cia-john-brennan.html,C.I.A. Had Early Evidence of Russian Effort to Help Trump,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/06/us/politics/jared-kushner-russians-security-clearance.html,Kushner Omitted Meeting With Russians on Clearance Forms,"The New York Times - Breaking News, World News & Multimedia"
http://www.foxnews.com/live-coverage/gorsuch-confirmation,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
